Dataset,Precision,F1-score,Recall,MCC,PrAUC
CVEFixes_CVE,0.7228459930000001,0.76137540975,0.83827209375,0.865191038,0.6318608695
CVEFixes_CWE,0.7372827169999999,0.7709238686666667,0.8257151396666668,0.9001771289999999,0.6673924633333334
CVEFixes_CVE_CWE,0.7558513575,0.79572442775,0.85514451775,0.9150596342499999,0.70889745775
CVEFixes_sample,0.73024995375,0.754317413,0.8079339775,0.8515284245,0.7747858077499999
Megavul_CVE,0.7747324953333333,0.7625982990000001,0.776867143,0.8773522079999999,0.6363465826666667
Megavul_CWE,0.7629465725,0.733108391,0.7826712339999999,0.842419283,0.65308185125
Megavul_CVE_CWE,0.7760722533333334,0.7572599296666667,0.7356562913333332,0.8973606530000001,0.6497693353333333
Megavul_Sample,0.7511157056666667,0.7581628496666667,0.8097270000000001,0.848007981,0.6965374286666667
ProjectKB_CVE,0.8323921066704445,0.7420713181327195,0.6459236314556308,0.8611024469687226,0.909683452390906
ProjectKB_CWE,0.7814147193090721,0.761553770742912,0.6787913158593999,0.8713208635648092,0.7612464481735852
ProjectKB_CVE_CWE,0.7408621201369049,0.676641732305308,0.7057763429919818,0.8660638531049093,0.7961945388668338
ProjectKB_Sample,0.7449745949772937,0.6610117623045723,0.6474047235385411,0.869801983478546,0.7419031078833207
Bigvul_CVE,0.5013072702943306,0.5588330682606689,0.58308597711174,0.3458813874131727,0.7881404824005783
Bigvul_CWE,0.56724741128491,0.5872851698399202,0.5491808832345811,0.3059018954321685,0.5326309916622589
Bigvul_CVE_CWE,0.52724741128491,0.5226433483707356,0.5750710146204829,0.3272977550374071,0.4393789030354534
Bigvul_Sample,0.525577449473254,0.499503427682059,0.784778004738807,0.3602517854429056,0.6116512896329414
